DRUG_NAME,SMILES,,,,0
levetiracetam,CCC(C(=O)N)N1CCCC1=O,,,,
carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,,,,
oxicam NSAIDs,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,,,,
trichloroethylene,C(=C(Cl)Cl)Cl,,,,
valproic acid,CCCC(CCC)C(=O)O,,,,
phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,,,,
lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,,,,
methazolamide,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,,,,
nevirapine,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,,,,
sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,,,,
paracetamol,CC(=O)NC1=CC=C(C=C1)O,,,,
aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,,,,
clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,,,,
co-trimoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,,,,
oxcarbazepine,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,,,,
allopurinol,C1=NNC2=C1C(=O)NC=N2,,,,
phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,,,,
